Stock,Weight,Allocation
DIXON.NS,0.09791343257160728,97913.43257160728
DEEPAKNTR.NS,0.14201498596581444,142014.98596581444
ASTRAL.NS,0.15210848189205992,152108.4818920599
COFORGE.NS,0.10520774056443695,105207.74056443694
PERSISTENT.NS,0.11625790876424018,116257.90876424017
ABB.NS,0.20500952676282816,205009.52676282817
APOLLOHOSP.NS,0.18148792347901302,181487.92347901303
