Stock,Latest Volatility,Average Volatility,Max Volatility,Min Volatility
DIXON.NS,0.02905924372406533,0.02271424088275556,0.0500113185318929,0.007423210586056474
COFORGE.NS,0.02032488151330809,0.021978898643113004,0.049466132338415895,0.008629971435111908
PERSISTENT.NS,0.018355186430918918,0.021080215639069606,0.038115290736175936,0.007731677227233309
DEEPAKNTR.NS,0.017189995113282487,0.019945833153939573,0.04947807849242217,0.005278308650055731
ASTRAL.NS,0.014535861852231718,0.01853160479959715,0.04474029023462215,0.007366909265927608
ABB.NS,0.010818277477596266,0.019352657594246748,0.04323728830950471,0.007233434207901648
APOLLOHOSP.NS,0.009030881080162173,0.016487033427586062,0.03818041082220397,0.006661046841186065
