Stock,ADF_p_value
DIXON.NS,0.6861306520248027
DEEPAKNTR.NS,0.029993734184020234
ASTRAL.NS,0.12687357662443638
COFORGE.NS,0.6974459644469998
PERSISTENT.NS,0.8776418517600655
ABB.NS,0.6009233035552662
APOLLOHOSP.NS,0.43195480944372416
